Dataset,Regularisation,C,CV_F1_mean,CV_F1_std,PR_AUC,Nonzero_coefs
D1 - Healthy vs Seizure (1:1),L1 (Lasso),0.01,0.828675207784113,0.005038561022685888,0.9989458844415133,1
D1 - Healthy vs Seizure (1:1),L1 (Lasso),0.1,0.9804584254083798,0.0006127707276628642,1.0,2
D1 - Healthy vs Seizure (1:1),L1 (Lasso),1.0,0.9962348310916086,0.0010283205440243073,1.0,4
D1 - Healthy vs Seizure (1:1),L1 (Lasso),10.0,0.9983291562238931,0.0011814649643885767,1.0,8
D1 - Healthy vs Seizure (1:1),L1 (Lasso),100.0,0.9987473899600899,0.001023178939961912,1.0,9
D1 - Healthy vs Seizure (1:1),L2 (Ridge),0.01,0.8980534714236525,0.004476947481285873,1.0,15
D1 - Healthy vs Seizure (1:1),L2 (Ridge),0.1,0.967283603849025,0.0038251007357470216,1.0,15
D1 - Healthy vs Seizure (1:1),L2 (Ridge),1.0,0.9928615186982496,0.0021574633320133826,1.0,15
D1 - Healthy vs Seizure (1:1),L2 (Ridge),10.0,0.9966530648278056,0.0015685387059742916,1.0,15
D1 - Healthy vs Seizure (1:1),L2 (Ridge),100.0,0.9979098729676554,0.0015646127888747942,1.0,15
D1 - Healthy vs Seizure (1:1),Elastic Net,0.01,0.8768621999691586,0.008725281765249508,1.0,2
D1 - Healthy vs Seizure (1:1),Elastic Net,0.1,0.9695121551569618,0.001654518741235366,1.0,7
D1 - Healthy vs Seizure (1:1),Elastic Net,1.0,0.9945524227383085,0.0011903872750260928,1.0,10
D1 - Healthy vs Seizure (1:1),Elastic Net,10.0,0.9974895362358996,0.002051501094756635,1.0,13
D1 - Healthy vs Seizure (1:1),Elastic Net,100.0,0.9983291562238931,0.0011814649643885767,1.0,15
D2 - Epileptic non-ictal vs Seizure (2:1),L1 (Lasso),0.01,0.9036876750658708,0.005008924672682794,0.9644018897708357,1
D2 - Epileptic non-ictal vs Seizure (2:1),L1 (Lasso),0.1,0.920316921335597,0.0033702887155412334,0.9666589984028106,2
D2 - Epileptic non-ictal vs Seizure (2:1),L1 (Lasso),1.0,0.9458369862114253,0.006165744915980735,0.9857048523776567,11
D2 - Epileptic non-ictal vs Seizure (2:1),L1 (Lasso),10.0,0.9526299779986697,0.006852916790752616,0.9892091954641882,15
D2 - Epileptic non-ictal vs Seizure (2:1),L1 (Lasso),100.0,0.9571355498721227,0.004536167516401748,0.9895418789857049,15
D2 - Epileptic non-ictal vs Seizure (2:1),L2 (Ridge),0.01,0.8134586956353728,0.004521203123708756,0.9625043348740531,15
D2 - Epileptic non-ictal vs Seizure (2:1),L2 (Ridge),0.1,0.8955769063670441,0.007149269194093852,0.9694280847569315,15
D2 - Epileptic non-ictal vs Seizure (2:1),L2 (Ridge),1.0,0.924238607658101,0.004582270772202569,0.9789383405655261,15
D2 - Epileptic non-ictal vs Seizure (2:1),L2 (Ridge),10.0,0.9421143237729298,0.009739530907292638,0.9856860648855172,15
D2 - Epileptic non-ictal vs Seizure (2:1),L2 (Ridge),100.0,0.950921573954672,0.0048088729423672,0.9885018204231966,15
D2 - Epileptic non-ictal vs Seizure (2:1),Elastic Net,0.01,0.8130427040082431,0.005147532558174669,0.9644018897708357,1
D2 - Epileptic non-ictal vs Seizure (2:1),Elastic Net,0.1,0.9062089679054699,0.006106682048811025,0.9677953543971508,9
D2 - Epileptic non-ictal vs Seizure (2:1),Elastic Net,1.0,0.9284970117412886,0.0044082477091773875,0.9809663063310511,14
D2 - Epileptic non-ictal vs Seizure (2:1),Elastic Net,10.0,0.9462329203831102,0.008724744516728193,0.9868186832935142,15
D2 - Epileptic non-ictal vs Seizure (2:1),Elastic Net,100.0,0.9494914994125715,0.005649800446688875,0.9883399634111059,15
D3 - All classes vs Seizure (4:1),L1 (Lasso),0.01,0.7712730080055642,0.016625461445040766,0.9458850272464003,2
D3 - All classes vs Seizure (4:1),L1 (Lasso),0.1,0.8595598703536337,0.004966370820825796,0.9614556162841438,6
D3 - All classes vs Seizure (4:1),L1 (Lasso),1.0,0.9221810548540906,0.011214048971117118,0.9783496062457611,13
D3 - All classes vs Seizure (4:1),L1 (Lasso),10.0,0.9321692552242532,0.00620187130901488,0.9798891004472933,14
D3 - All classes vs Seizure (4:1),L1 (Lasso),100.0,0.9365503069601,0.008633701068874984,0.980636318841257,15
D3 - All classes vs Seizure (4:1),L2 (Ridge),0.01,0.6469213090973208,0.010466192087054493,0.9486952643577434,15
D3 - All classes vs Seizure (4:1),L2 (Ridge),0.1,0.8177370357228594,0.00875186858447789,0.9603333246415982,15
D3 - All classes vs Seizure (4:1),L2 (Ridge),1.0,0.8906927624414019,0.0037779162878079646,0.9704559306602935,15
D3 - All classes vs Seizure (4:1),L2 (Ridge),10.0,0.9216229633265249,0.011600961499589836,0.9756073542459683,15
D3 - All classes vs Seizure (4:1),L2 (Ridge),100.0,0.9271361740962366,0.008909861751343834,0.9774864030855851,15
D3 - All classes vs Seizure (4:1),Elastic Net,0.01,0.6668997609692267,0.0118455781497759,0.9451202068370873,3
D3 - All classes vs Seizure (4:1),Elastic Net,0.1,0.8325152318418764,0.010882475019591907,0.9610889677378758,11
D3 - All classes vs Seizure (4:1),Elastic Net,1.0,0.8978527356169602,0.007435606880183042,0.9718363134868533,15
D3 - All classes vs Seizure (4:1),Elastic Net,10.0,0.9243627816304133,0.010719966545148524,0.9769780116399469,15
D3 - All classes vs Seizure (4:1),Elastic Net,100.0,0.9288393281279035,0.008574717670621124,0.9788581801229234,15
