Dataset,Technique,Precision,Recall,F1,PR-AUC
D2,No Resampling + no weight,0.9302325581395349,0.13333333333333333,0.23323615160349853,0.5303598715804624
D2,No Resampling + class_weight=balanced,0.43944636678200694,0.42333333333333334,0.4312393887945671,0.5262677951628965
D2,SMOTE + no weight,0.45993031358885017,0.44,0.4497444633730835,0.545341263516724
D2,SMOTE + class_weight=balanced,0.45993031358885017,0.44,0.4497444633730835,0.545341263516724
D2,Undersampling + no weight,0.431438127090301,0.43,0.4307178631051753,0.5268219009959532
D2,Undersampling + class_weight=balanced,0.431438127090301,0.43,0.4307178631051753,0.5268219009959532
D3,No Resampling + no weight,0.9545454545454546,0.07,0.13043478260869565,0.4240049085929129
D3,No Resampling + class_weight=balanced,0.2536997885835095,0.4,0.31047865459249674,0.4011004016608784
D3,SMOTE + no weight,0.297008547008547,0.4633333333333333,0.3619791666666667,0.44523846455472726
D3,SMOTE + class_weight=balanced,0.297008547008547,0.4633333333333333,0.3619791666666667,0.44523846455472726
D3,Undersampling + no weight,0.2610619469026549,0.3933333333333333,0.31382978723404253,0.4120147895319206
D3,Undersampling + class_weight=balanced,0.2610619469026549,0.3933333333333333,0.31382978723404253,0.4120147895319206
